Peripheral,Generic Atom Name
EMAC0,hps_interface_peripheral_emac,
EMAC1,hps_interface_peripheral_emac,
EMAC2,hps_interface_peripheral_emac,
I2C0,hps_interface_peripheral_i2c,
I2C1,hps_interface_peripheral_i2c,
I2CEMAC0,hps_interface_peripheral_i2c,
I2CEMAC1,hps_interface_peripheral_i2c,
I2CEMAC2,hps_interface_peripheral_i2c,
NAND,hps_interface_peripheral_nand,
QSPI,hps_interface_peripheral_qspi,
SDMMC,hps_interface_peripheral_sdmmc,
SPIM0,hps_interface_peripheral_spi_master,
SPIM1,hps_interface_peripheral_spi_master,
SPIS0,hps_interface_peripheral_spi_slave,
SPIS1,hps_interface_peripheral_spi_slave,
UART0,hps_interface_peripheral_uart,
UART1,hps_interface_peripheral_uart,
USB0,hps_interface_peripheral_usb,
USB1,hps_interface_peripheral_usb,
TRACE,hps_interface_tpiu_trace,
