Peripheral,Interface,Type,Direction,associatedClock,associatedReset,synchronousEdges,@no_export
CM,cm,conduit,Input,,,,0
EMAC0,emac0,conduit,Input,,,,0
EMAC0,emac0_md_clk,clock,Output,,,,0
EMAC0,emac0_rx_clk_in,clock,Input,,,,0
EMAC0,emac0_tx_clk_in,clock,Input,,,,0
EMAC0,emac0_gtx_clk,clock,Output,,,,0
EMAC0,emac0_tx_reset,reset,Output,emac0_tx_clk_in,,,0
EMAC0,emac0_rx_reset,reset,Output,emac0_rx_clk_in,,,0
EMAC1,emac1,conduit,Input,,,,0
EMAC1,emac1_md_clk,clock,Output,,,,0
EMAC1,emac1_rx_clk_in,clock,Input,,,,0
EMAC1,emac1_tx_clk_in,clock,Input,,,,0
EMAC1,emac1_gtx_clk,clock,Output,,,,0
EMAC1,emac1_tx_reset,reset,Output,emac1_tx_clk_in,,,0
EMAC1,emac1_rx_reset,reset,Output,emac1_rx_clk_in,,,0
EMAC2,emac2,conduit,Input,,,,0
EMAC2,emac2_md_clk,clock,Output,,,,0
EMAC2,emac2_rx_clk_in,clock,Input,,,,0
EMAC2,emac2_tx_clk_in,clock,Input,,,,0
EMAC2,emac2_gtx_clk,clock,Output,,,,0
EMAC2,emac2_tx_reset,reset,Output,emac2_tx_clk_in,,,0
EMAC2,emac2_rx_reset,reset,Output,emac2_rx_clk_in,,,0
NAND,nand,conduit,Input,,,,0
SDMMC,sdmmc,conduit,Input,,,,0
SDMMC,sdmmc_reset,reset,Output,,,none,0
SDMMC,sdmmc_clk_in,clock,Input,,,,0
SDMMC,sdmmc_cclk,clock,Output,,,,0
USB0,usb0,conduit,Input,,,,0
USB0,usb0_clk_in,clock,Input,,,,0
USB1,usb1,conduit,Input,,,,0
USB1,usb1_clk_in,clock,Input,,,,0
SPIM0,spim0,conduit,Input,,,,0
SPIM0,spim0_sclk_out,clock,Output,,,,0
SPIM1,spim1,conduit,Input,,,,0
SPIM1,spim1_sclk_out,clock,Output,,,,0
SPIS0,spis0,conduit,Input,,,,0
SPIS0,spis0_sclk_in,clock,Input,,,,0
SPIS1,spis1,conduit,Input,,,,0
SPIS1,spis1_sclk_in,clock,Input,,,,0
TRACE,trace_s2f_clk,clock,Output,,,,0
TRACE,trace,conduit,Input,,,,0
UART0,uart0,conduit,Input,,,,0
UART1,uart1,conduit,Input,,,,0
I2C0,i2c0_scl_in,clock,Input,,,,0
I2C0,i2c0_clk,clock,Output,,,,0
I2C0,i2c0,conduit,Input,,,,0
I2C1,i2c1_scl_in,clock,Input,,,,0
I2C1,i2c1_clk,clock,Output,,,,0
I2C1,i2c1,conduit,Input,,,,0
I2CEMAC0,i2cemac0_scl_in,clock,Input,,,,0
I2CEMAC0,i2cemac0_clk,clock,Output,,,,0
I2CEMAC0,i2cemac0,conduit,Input,,,,0
I2CEMAC1,i2cemac1_scl_in,clock,Input,,,,0
I2CEMAC1,i2cemac1_clk,clock,Output,,,,0
I2CEMAC1,i2cemac1,conduit,Input,,,,0
I2CEMAC2,i2cemac2_scl_in,clock,Input,,,,0
I2CEMAC2,i2cemac2_clk,clock,Output,,,,0
I2CEMAC2,i2cemac2,conduit,Input,,,,0
